page_url,price,title,type,url
https://bj.lianjia.com/ershoufang/tongzhou/,288,新华大街精装小两居，南北通透，满五唯一,中仓小区 /2室1厅/68.01平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102509576.html
https://bj.lianjia.com/ershoufang/shunyi/,276,满五唯一 中间楼层三居室 随时可看,樱花园六区 /3室2厅/108.15平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102502004.html
https://bj.lianjia.com/ershoufang/tongzhou/,650,通州 果园 巴克寓所 70年大产权 单价3.6万满五年复式,巴克寓所 /4室2厅/177.55平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102189090.html
https://bj.lianjia.com/ershoufang/tongzhou/,360,南北通透，两梯四户，满五唯一，随时可以看房,京贸国际城东区 /2室1厅/76.17平米/南 北/简装/有电梯,https://bj.lianjia.com/ershoufang/101102545976.html
https://bj.lianjia.com/ershoufang/tongzhou/,700,两广路沿线 南北通透，明厨明卫，交通方便，配套齐全,世纪星城三期 /3室2厅/144.52平米/南 北/精装/有电梯,https://bj.lianjia.com/ershoufang/101102437300.html
https://bj.lianjia.com/ershoufang/tongzhou/,1080,联排别墅+看房方便+满五年+带花园+精装修,尚东庭 /4室2厅/205.58平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102211265.html
https://bj.lianjia.com/ershoufang/tongzhou/,445,新华联家园北区南北通透两居户型,新华联家园北区 /2室1厅/89.82平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102506323.html
https://bj.lianjia.com/ershoufang/tongzhou/,610,巴克寓所 4跃5层3居挑空复式 满五年 家庭唯一 诚心售房主自荐,巴克寓所 /3室2厅/144.92平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102212411.html
https://bj.lianjia.com/ershoufang/tongzhou/,300,东西向 低楼层 满五年唯一 随时可看,大方居 /2室1厅/86.56平米/东 西/毛坯/有电梯,https://bj.lianjia.com/ershoufang/101102517231.html
https://bj.lianjia.com/ershoufang/daxing/,550,南北双通透三居 楼层好采光足 带地下室,金惠园三里 /3室1厅/107.29平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102519959.html
https://bj.lianjia.com/ershoufang/shunyi/,290,满五年唯一 标准两居 中间楼层 商贷首套首付110万,马坡花园一区 /2室2厅/85.84平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102413423.html
https://bj.lianjia.com/ershoufang/shunyi/,278,西辛南区精装小两居，满五年唯一房主自荐,西辛南区 /2室1厅/68.08平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102523128.html
https://bj.lianjia.com/ershoufang/shunyi/,650,蓝星花园4居室 南北通透 优质推荐,蓝星花园 /4室1厅/186.53平米/南 北/简装/有电梯,https://bj.lianjia.com/ershoufang/101102503661.html
https://bj.lianjia.com/ershoufang/shunyi/,315,中间楼层正规三居，满五年，精装修拎包入住  河景房,西辛北区 /3室1厅/85.56平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102499631.html
https://bj.lianjia.com/ershoufang/shunyi/,310,西辛北区 3室1厅 310万,西辛北区 /3室1厅/84.54平米/南 北/其他/无电梯,https://bj.lianjia.com/ershoufang/101102522604.html
https://bj.lianjia.com/ershoufang/shunyi/,340,满五年唯一住宅  电梯房 南北通透大两居,馨港庄园二区 /2室2厅/111.98平米/南 北/精装/有电梯,https://bj.lianjia.com/ershoufang/101102437458.html
https://bj.lianjia.com/ershoufang/fengtai/,330,南庭新苑南区 中间楼层 全南朝向两居室  满五年,南庭新苑南区 /2室1厅/58.95平米/南/简装/有电梯,https://bj.lianjia.com/ershoufang/101102513458.html
https://bj.lianjia.com/ershoufang/yizhuangkaifaqu/,580,林肯公园70年住宅 精装修两居,林肯公园 /2室1厅/94.09平米/南 北/精装/有电梯,https://bj.lianjia.com/ershoufang/101102462154.html
https://bj.lianjia.com/ershoufang/changping/,419,天通苑东一区  三居室复式  大露台  满五年唯一,天通苑东一区 /3室2厅/123.36平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102527089.html
https://bj.lianjia.com/ershoufang/shijingshan/,360,七星园新上优质南北向两居室，看房方便,七星园 /2室1厅/69.73平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102528982.html
https://bj.lianjia.com/ershoufang/tongzhou/,460,加州小镇C区 两居室.厨房卫生间都有窗户.,DBC加州小镇C区 /2室1厅/93.18平米/南/精装/有电梯,https://bj.lianjia.com/ershoufang/101102516161.html
https://bj.lianjia.com/ershoufang/tongzhou/,430,翠屏北里 满五年在京唯一住房 大两居 双卫户型,翠屏北里西区 /2室1厅/97.68平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102383584.html
https://bj.lianjia.com/ershoufang/tongzhou/,550,bobo自由城板楼南北通透两居室   电梯房 业主诚意出售,BOBO自由城 /2室2厅/95.45平米/南 北/简装/有电梯,https://bj.lianjia.com/ershoufang/101102413844.html
https://bj.lianjia.com/ershoufang/tongzhou/,245,东亚瑞晶苑 精装两居 满五年 免个税和增值税 随时签约,东亚瑞晶苑 /2室1厅/79.73平米/南 西 北/精装,https://bj.lianjia.com/ershoufang/101102464570.html
https://bj.lianjia.com/ershoufang/tongzhou/,320,玉桥南里南北通透两居室，一层带小院,玉桥南里 /2室1厅/71.37平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102395548.html
https://bj.lianjia.com/ershoufang/tongzhou/,439,中楼层采光好，有电梯，满五年，户型方正，交通便利！,新通国际花园 /2室1厅/95.1平米/西南/精装/有电梯,https://bj.lianjia.com/ershoufang/101102384043.html
https://bj.lianjia.com/ershoufang/tongzhou/,520,京贸国际公寓 3室1厅 520万,京贸国际公寓 /3室1厅/129.59平米/东南/简装/有电梯,https://bj.lianjia.com/ershoufang/101102327389.html
https://bj.lianjia.com/ershoufang/tongzhou/,320,通州北关西潞苑 满五年的正规 三居室,西潞苑小区 /3室1厅/86平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102247271.html
https://bj.lianjia.com/ershoufang/daxing/,420,泰中花园，南北通透大三居，中间楼层，满五年,泰中花园 /3室2厅/131.74平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102450762.html
https://bj.lianjia.com/ershoufang/daxing/,245,此房满五年，滨河西里，南北通透，税费一个契税。,滨河西里 /2室1厅/59.15平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102531653.html
https://bj.lianjia.com/ershoufang/daxing/,330,南北通透两居室，中高楼层，采光好 ，小区位置好。,康庄路52号院 /2室1厅/87.65平米/南 北/精装,https://bj.lianjia.com/ershoufang/101102366632.html
https://bj.lianjia.com/ershoufang/daxing/,285,同兴园，满五年，南北通透，看房方便，高楼层,同兴园 /2室1厅/72.3平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102266659.html
https://bj.lianjia.com/ershoufang/daxing/,215,黄村西里 一层有赠送面积  小两居房主自荐,黄村西里 /2室1厅/46.95平米/东北/毛坯/无电梯,https://bj.lianjia.com/ershoufang/101102477136.html
https://bj.lianjia.com/ershoufang/daxing/,417,2005年电梯大两居，双卫，视野宽阔，采光充足房主自荐,玉璟园 /2室2厅/101.73平米/南 北/简装/有电梯,https://bj.lianjia.com/ershoufang/101102463557.html
https://bj.lianjia.com/ershoufang/daxing/,480,南北通透三居室，带80平米阁楼，随时可看房主自荐,怡兴园 /3室1厅/117.26平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101101318837.html
https://bj.lianjia.com/ershoufang/shunyi/,545,万科城市花园，3+4红楼复式，前后无遮挡，满五唯一房主自荐,万科城市花园 /3室2厅/126.61平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101101972519.html
https://bj.lianjia.com/ershoufang/shunyi/,320,满五年 正规两居室 有阁楼 业主诚意出售房主自荐,宏城花园 /2室1厅/90.07平米/东 西/简装/无电梯,https://bj.lianjia.com/ershoufang/101102488750.html
https://bj.lianjia.com/ershoufang/shunyi/,385,前进花园玉兰苑 2室1厅 385万,前进花园玉兰苑 /2室1厅/96.79平米/南 北/精装/有电梯,https://bj.lianjia.com/ershoufang/101102387201.html
https://bj.lianjia.com/ershoufang/shunyi/,498,希望家园 3室2厅 498万,希望家园 /3室2厅/152.12平米/南 北/毛坯/无电梯,https://bj.lianjia.com/ershoufang/101101322535.html
https://bj.lianjia.com/ershoufang/shunyi/,860,房子满五年家庭唯一住房。只有契税和增值房主自荐,水木兰亭 /3室1厅/165.19平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101102511426.html
https://bj.lianjia.com/ershoufang/fengtai/,930,房子是天鸿美域小区中间位置，精装修，带前后花园,天鸿美域 /4室1厅/156.83平米/南 北/精装/有电梯,https://bj.lianjia.com/ershoufang/101102357007.html
https://bj.lianjia.com/ershoufang/fengtai/,270,西南两居室，户方正，业主诚心出售。,韩庄子西里 /2室1厅/46.62平米/西南/简装/无电梯,https://bj.lianjia.com/ershoufang/101102509814.html
https://bj.lianjia.com/ershoufang/fengtai/,685,南北通透三居，前后花园，满五年，家庭只有这一套房子房主自荐,万科紫苑 /3室2厅/91.69平米/南 北/精装/有电梯,https://bj.lianjia.com/ershoufang/101102533854.html
https://bj.lianjia.com/ershoufang/fengtai/,390,满五年家庭一套房 不临街 好楼层 简装 十号线 三环边,育芳园 /2室1厅/72.18平米/南 北/简装/无电梯,https://bj.lianjia.com/ershoufang/101102538495.html
https://bj.lianjia.com/ershoufang/fengtai/,1050,南北通透 恋日嘉园一期 草桥十号线地铁 房本满五年,恋日嘉园一期 /4室2厅/173.34平米/南 北/简装/有电梯,https://bj.lianjia.com/ershoufang/101102395364.html
https://bj.lianjia.com/ershoufang/fengtai/,392,芳星园二区，满五年西南向两居室，看房方便,芳星园二区 /2室1厅/60.25平米/南 西/简装/有电梯,https://bj.lianjia.com/ershoufang/101102460805.html
https://bj.lianjia.com/ershoufang/fengtai/,688,瑞丽江畔 东南三居室 业主诚心出售房主自荐,瑞丽江畔 /3室2厅/114.72平米/东南/精装/有电梯,https://bj.lianjia.com/ershoufang/101102334666.html
https://bj.lianjia.com/ershoufang/yizhuangkaifaqu/,1550,下叠别墅 南花园 北车位 不临街,金地格林小镇 /4室2厅/272.53平米/南 北/毛坯/无电梯,https://bj.lianjia.com/ershoufang/101101876210.html
https://bj.lianjia.com/ershoufang/yizhuangkaifaqu/,1230,金地格林小镇C4叠上 东边户 带产权车位房主自荐,金地格林小镇 /4室2厅/215.19平米/南 北/精装/无电梯,https://bj.lianjia.com/ershoufang/101101529897.html
